t_low,t_high,approve_rate,review_rate,reject_rate,approve_observed_default_rate,review_observed_default_rate,reject_observed_default_rate,nonrejected_observed_default_rate,approve_avg_pd,review_avg_pd,reject_avg_pd,risk_proxy_nonrejected,risk_proxy_approved_only
0.08,0.45,0.5416712696283438,0.3210289592046082,0.13729977116704806,0.028056988025522245,0.22279028610756071,0.8001149425287356,0.10052135735845605,0.040493170721596077,0.1856635272820009,0.8440732586926819,75242875.73316982,18674940.163066417
0.08,0.48,0.5416712696283438,0.3276887871853547,0.1306399431863016,0.028056988025522245,0.22616066268541707,0.8210920512201014,0.10272841142193258,0.040493170721596077,0.19134100972912435,0.863396967453643,78779657.57180771,18674940.163066417
0.08,0.51,0.5416712696283438,0.3337015702674978,0.12462716010415845,0.028056988025522245,0.2297942776069993,0.8400658477903001,0.10496141919665393,0.040493170721596077,0.19680693510678973,0.8811855362496804,82150934.90759474,18674940.163066417
0.08,0.54,0.5416712696283438,0.33931981377732184,0.11900891659433441,0.028056988025522245,0.23305892749174456,0.859567696591964,0.10701490398394956,0.040493170721596077,0.20224010444908982,0.898002962052369,85343514.12337168,18674940.163066417
0.08,0.57,0.5416712696283438,0.34468555196086165,0.1136431784107946,0.028056988025522245,0.23629870427178243,0.8793223163449521,0.10903781781924364,0.040493170721596077,0.20773465649859113,0.9141886113055224,88523711.89533772,18674940.163066417
0.08,0.6,0.5416712696283438,0.3491201767537284,0.10920855361792788,0.028056988025522245,0.23921887713588283,0.8960982658959538,0.11081583842678713,0.040493170721596077,0.2125206062902498,0.9275757182433366,91462793.7458159,18674940.163066417
0.08,0.63,0.5416712696283438,0.35352323838080957,0.10480549199084668,0.028056988025522245,0.24248917459042008,0.9126637554585153,0.11273887596079261,0.040493170721596077,0.21752701255611445,0.940729139335533,94456492.80155282,18674940.163066417
0.1,0.15,0.6026986506746627,0.094279176201373,0.30302217312396434,0.03815134852055512,0.17609641781051222,0.5180459351075465,0.056810977266551946,0.04543373378980312,0.12243344281295508,0.5230727691514485,33104949.831592906,23152511.935057446
0.1,0.18,0.6026986506746627,0.13060838002051606,0.2666929693048213,0.03815134852055512,0.1874093765103915,0.5590863364696136,0.06473550553092584,0.04543373378980312,0.13408240338984304,0.5719434083310972,38408576.265189886,23152511.935057446
0.1,0.21,0.6026986506746627,0.15729503669218023,0.2400063126331571,0.03815134852055512,0.19494331293267783,0.5954760652288269,0.07060240463484022,0.04543373378980312,0.14434256208758361,0.6139055307413603,43091541.941998646,23152511.935057446
0.1,0.24,0.6026986506746627,0.17727452063441962,0.2200268286909177,0.03815134852055512,0.20324045223893883,0.6251613828718978,0.07567326953038059,0.04543373378980312,0.1534085654862642,0.649239650820137,47188023.798885435,23152511.935057446
0.1,0.27,0.6026986506746627,0.19487098555985166,0.20243036376548568,0.03815134852055512,0.21145124716553287,0.6539331098464177,0.08049388578891131,0.04543373378980312,0.16254562187735558,0.6835444210571426,51643287.099809326,23152511.935057446
0.1,0.3,0.6026986506746627,0.21103132644204214,0.1862700228832952,0.03815134852055512,0.2194884833981454,0.6832161314919936,0.08517900779643924,0.04543373378980312,0.17186018125333904,0.7181922633332125,56346319.210990235,23152511.935057446
0.1,0.33,0.6026986506746627,0.22439832715221336,0.17290302217312398,0.03815134852055512,0.22554328715099514,0.7112084702446149,0.08899234864240875,0.04543373378980312,0.18035571066098516,0.7494030465455466,60543171.54211727,23152511.935057446
0.1,0.36,0.6026986506746627,0.23505089560482917,0.16225045372050817,0.03815134852055512,0.23177118302672217,0.7340725610349188,0.09247607565368096,0.04543373378980312,0.18779035080657341,0.7759933997596004,64318796.44304125,23152511.935057446
0.1,0.39,0.6026986506746627,0.2447565690838791,0.1525447802414582,0.03815134852055512,0.236894706299568,0.7578108835092076,0.09555112758151921,0.04543373378980312,0.19519037510746692,0.8015445996585817,68216867.99789001,23152511.935057446
0.1,0.42,0.6026986506746627,0.2531997159315079,0.1441016333938294,0.03815134852055512,0.24102468212415856,0.7810754572335998,0.09816720138658407,0.04543373378980312,0.20218476521598389,0.8247820890062765,71968096.14267978,23152511.935057446
0.1,0.45,0.6026986506746627,0.2600015781582893,0.13729977116704806,0.03815134852055512,0.24509863429438544,0.8001149425287356,0.10052135735845605,0.04543373378980312,0.2082852975547935,0.8440732586926819,75242875.73316982,23152511.935057446
0.1,0.48,0.6026986506746627,0.2666614061390358,0.1306399431863016,0.03815134852055512,0.24868319820086407,0.8210920512201014,0.10272841142193258,0.04543373378980312,0.21469713743624896,0.863396967453643,78779657.57180771,23152511.935057446
0.1,0.51,0.6026986506746627,0.27267418922117886,0.12462716010415845,0.03815134852055512,0.2526334066442875,0.8400658477903001,0.10496141919665393,0.04543373378980312,0.22087136520881057,0.8811855362496804,82150934.90759474,23152511.935057446
0.1,0.54,0.6026986506746627,0.2782924327310029,0.11900891659433441,0.03815134852055512,0.2561528864693206,0.859567696591964,0.10701490398394956,0.04543373378980312,0.22701016734743343,0.898002962052369,85343514.12337168,23152511.935057446
0.1,0.57,0.6026986506746627,0.2836581709145427,0.1136431784107946,0.03815134852055512,0.25965283186825416,0.8793223163449521,0.10903781781924364,0.04543373378980312,0.23321828406756925,0.9141886113055224,88523711.89533772,23152511.935057446
0.1,0.6,0.6026986506746627,0.2880927957074095,0.10920855361792788,0.03815134852055512,0.2628321007943029,0.8960982658959538,0.11081583842678713,0.04543373378980312,0.23862578239373686,0.9275757182433366,91462793.7458159,23152511.935057446
0.1,0.63,0.6026986506746627,0.2924958573344906,0.10480549199084668,0.03815134852055512,0.26642926513434767,0.9126637554585153,0.11273887596079261,0.04543373378980312,0.24428377109713398,0.940729139335533,94456492.80155282,23152511.935057446
0.12,0.15,0.6475183460901128,0.04945948078592283,0.30302217312396434,0.04669753838654643,0.18921506062539886,0.5180459351075465,0.056810977266551946,0.04987598072251721,0.13405239047616255,0.5230727691514485,33104949.831592906,27297922.82008081
0.12,0.18,0.6475183460901128,0.08578868460506589,0.2666929693048213,0.04669753838654643,0.20088300220750552,0.5590863364696136,0.06473550553092584,0.04987598072251721,0.14686695637270805,0.5719434083310972,38408576.265189886,27297922.82008081
0.12,0.21,0.6475183460901128,0.11247534127673006,0.2400063126331571,0.04669753838654643,0.20822225340255368,0.5954760652288269,0.07060240463484022,0.04987598072251721,0.15818228156512495,0.6139055307413603,43091541.941998646,27297922.82008081
0.12,0.24,0.6475183460901128,0.13245482521896945,0.2200268286909177,0.04669753838654643,0.2173239604432265,0.6251613828718978,0.07567326953038059,0.04987598072251721,0.1682284308941863,0.649239650820137,47188023.798885435,27297922.82008081
0.12,0.27,0.6475183460901128,0.1500512901444015,0.20243036376548568,0.04669753838654643,0.22633571729070256,0.6539331098464177,0.08049388578891131,0.04987598072251721,0.1783567672832653,0.6835444210571426,51643287.099809326,27297922.82008081
0.12,0.3,0.6475183460901128,0.16621163102659198,0.1862700228832952,0.04669753838654643,0.2350930497531333,0.6832161314919936,0.08517900779643924,0.04987598072251721,0.188645760359604,0.7181922633332125,56346319.210990235,27297922.82008081
